id,name
1,"協会入会データ"
2,"技検8級応募データ"
3,"代理部オーダー"
4,"写真展スクーリングデータ"
5,"総合美術展オーダー情報"
6,"囲碁研究オーダー情報"
7,"水墨画オーダー情報"
8,"水墨画展覧会オーダー情報"
9,"ホスト⇒パーソナル添削システム（受講生データ）"
10,"ホスト⇒パーソナル添削システム（オーダーステータスデータ）"
11,"パーソナル冊子伝送データ（大日本同送）"
12,"パーソナル冊子伝送データ（大日本単独）"
13,"パーソナル冊子伝送データ（トッパン同送）"
14,"パーソナル冊子伝送データ（トッパン単独）"
