id,subsys_name,table_name_l,table_name_p,column_id,column_name_l,column_name_p,data_type,length,precision,null,unique_key,primary_key,default,description
1,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",1,"講座3桁コード","COURSE_03_KETA_CD","VARCHAR","3"," ","N","Y","1","",""
2,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",2,"DM2","DM_02","VARCHAR","2"," ","N","Y","2","",""
3,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",3,"連合単独区分","RENGO_TANDOKU_DIV","VARCHAR","1"," ","N","Y","3","",""
4,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",4,"適用対象年月（開始）","TEKIYO_TAISHO_YM_START","DATE"," "," ","N","Y","4","",""
5,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",5,"適用対象年月（終了）","TEKIYO_TAISHO_YM_END","DATE"," "," ","N","N","","",""
6,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",6,"比率","RATE","NUMERIC","7","4","N","N","","",""
7,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",7,"登録区分","REG_DIV","VARCHAR","1"," ","N","N","","",""
8,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",8,"作成日時","CRT_DATE","TIMESTAMP/DATE"," "," ","N","N","","",""
9,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",9,"作成ユーザID","CRT_USR_ID","VARCHAR","20"," ","N","N","","",""
10,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",10,"更新日時","UPD_DATE","TIMESTAMP/DATE"," "," ","N","N","","",""
11,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",11,"更新ユーザID","UPD_USR_ID","VARCHAR","20"," ","N","N","","",""
12,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",12,"削除フラグ","DEL_FLG","VARCHAR","1"," ","N","N","","",""
13,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",13,"削除日時","DEL_DATE","TIMESTAMP/DATE"," "," ","Y","N","","",""
14,"マスタ管理システム","DMコード按分マスタ","DM_CD_ANBUN_MASTER",14,"削除ユーザID","DEL_USR_ID","VARCHAR","20"," ","Y","N","","",""
15,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",1,"更新日時キー","UPD_DATE_KEY","TIMESTAMP/DATE"," "," ","N","Y","1","",""
16,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",2,"講座3桁コード","COURSE_03_KETA_CD","VARCHAR","3"," ","N","Y","2","",""
17,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",3,"DM2","DM_02","VARCHAR","2"," ","N","Y","3","",""
18,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",4,"連合単独区分","RENGO_TANDOKU_DIV","VARCHAR","1"," ","N","Y","4","",""
19,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",5,"適用対象年月（開始）","TEKIYO_TAISHO_YM_START","DATE"," "," ","N","Y","5","",""
20,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",6,"適用対象年月（終了）","TEKIYO_TAISHO_YM_END","DATE"," "," ","N","N","","",""
21,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",7,"比率","RATE","NUMERIC","7","4","N","N","","",""
22,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",8,"登録区分","REG_DIV","VARCHAR","1"," ","N","N","","",""
23,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",9,"最終更新ユーザ名","LAST_UPD_USR_NM","VARCHAR","128"," ","N","N","","",""
24,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",10,"作成日時","CRT_DATE","TIMESTAMP/DATE"," "," ","N","N","","",""
25,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",11,"作成ユーザID","CRT_USR_ID","VARCHAR","20"," ","N","N","","",""
26,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",12,"更新日時","UPD_DATE","TIMESTAMP/DATE"," "," ","N","N","","",""
27,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",13,"更新ユーザID","UPD_USR_ID","VARCHAR","20"," ","N","N","","",""
28,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",14,"削除フラグ","DEL_FLG","VARCHAR","1"," ","N","N","","",""
29,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",15,"削除日時","DEL_DATE","TIMESTAMP/DATE"," "," ","Y","N","","",""
30,"マスタ管理システム","DMコード按分マスタ履歴","DM_CD_ANBUN_HIST",16,"削除ユーザID","DEL_USR_ID","VARCHAR","20"," ","Y","N","","",""
31,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",1,"講座商品コード","COURSE_SHOHIN_CD","VARCHAR","5"," ","Y","N","","",""
32,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",2,"DMコード","DM_CD","VARCHAR","8"," ","Y","N","","",""
33,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",3,"講座3桁コード","COURSE_03_KETA_CD","VARCHAR","3"," ","Y","N","","",""
34,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",4,"年月（DM）","YM_DM","DATE"," "," ","Y","N","","",""
35,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",5,"DM種別","DM_SHUBETSU","VARCHAR","1"," ","Y","N","","",""
36,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",6,"追求回数（DM）","TSUIKYU_TIMES_DM","VARCHAR","1"," ","Y","N","","",""
37,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",7,"テストキー（DM）","TEST_KEY_DM","VARCHAR","1"," ","Y","N","","",""
38,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",8,"媒体ジャンル区分","BAITAI_GENRE_DIV","VARCHAR","2"," ","Y","N","","",""
39,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",9,"FUC本DM種別","FUC_HON_DM_SHUBETSU","VARCHAR","1"," ","Y","N","","",""
40,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",10,"企画名","KIKAKU_NM","VARCHAR","30"," ","Y","N","","",""
41,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",11,"使用名簿","SHIYO_MEIBO","VARCHAR","30"," ","Y","N","","",""
42,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",12,"テスト名（DM）","TEST_NM_DM","VARCHAR","20"," ","Y","N","","",""
43,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",13,"申込み方法","MOSHIKOMI_HOHO","VARCHAR","4"," ","Y","N","","",""
44,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",14,"テスト本番","TEST_HONBAN","VARCHAR","4"," ","Y","N","","",""
45,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",15,"対象講座","TAISHO_COURSE","VARCHAR","5"," ","Y","N","","",""
46,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",16,"ギフト区分","GIFT_DIV","VARCHAR","1"," ","Y","N","","",""
47,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",17,"ギフトコード1","GIFT_CD_01","VARCHAR","3"," ","Y","N","","",""
48,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",18,"ギフトコード2","GIFT_CD_02","VARCHAR","3"," ","Y","N","","",""
49,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",19,"ギフトコード3","GIFT_CD_03","VARCHAR","3"," ","Y","N","","",""
50,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",20,"発送区分","HASSO_DIV","VARCHAR","1"," ","Y","N","","",""
51,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",21,"原稿キー","GENKO_KEY","VARCHAR","4"," ","Y","N","","",""
52,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",22,"予告ハガキ有無","YOKOKU_HAGAKI_UMU","VARCHAR","4"," ","Y","N","","",""
53,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",23,"フォローアップ有無","FUC_UMU","VARCHAR","4"," ","Y","N","","",""
54,"マスタ管理システム","DM表ファイル_TEMP","DMHYO_FILE_TEMP",24,"フォローアップ局出日","FUC_KYOKUDASHI_DAY","DATE"," "," ","Y","N","","",""
