id,reason,status
1,"ブラック判断","1"
2,"ブラック指示","4"
3,"本人死亡","1"
4,"取引停止","3"
4,"取引停止","1"
5,"貸倒","3"
5,"貸倒","1"
6,"HY","1"
7,"0入R2","4"
8,"同一オーダー","4"
9,"HY中途退学","4"
10,"HY返品","4"
11,"請求一時停止","4"
12,"フリークエントリジェクター","4"
13,"講座数限度超過","4"
14,"与信限度超過","4"
15,"0入与信","4"
16,"教育給付金申請者","4"
17,"同一IPアドレス履歴","4"
18,"同一IPアドレスマスター","4"
19,"同一リスト","1"
20,"局戻","4"
21,"グレー判断","2"
22,"被いたずら判断","1"
