id,comment,completed
1,"OK","2017/12/20 16:00:00"
2,"OK","2017/12/20 16:12:41"
3,"継続申請→継続申込修正済み","2017/12/20 16:51:41"
4,"ＯＫ","2017/12/20 17:12:18"
5,"オーダー受付ヘッダ、明細の項目追加対応","2017/12/20 18:54:27"
6,"債権講座を参照しない対応
＜関連設計書＞機能一覧、ＣＲＵＤ、システムフロー","2017/12/20 20:36:42"
7,"債権講座を参照しない対応
＜関連設計書＞機能一覧、ＣＲＵＤ、システムフロー","2017/12/20 21:10:12"
8,"OK","2017/12/20 21:11:56"
