id,reason
1,"ブラック判断"
2,"ブラック指示"
3,"本人死亡"
4,"取引停止"
5,"貸倒"
6,"HY"
7,"0入R2"
8,"同一オーダー"
9,"HY中途退学"
10,"HY返品"
11,"請求一時停止"
12,"フリークエントリジェクター"
13,"講座数限度超過"
14,"与信限度超過"
15,"0入与信"
16,"教育給付金申請者"
17,"同一IPアドレス履歴"
18,"同一IPアドレスマスター"
19,"同一リスト"
20,"局戻"
21,"グレー判断"
22,"被いたずら判断"
